City_id,CityName,STATE_ABR,State_NM
339,"Jackson/Vicksburg, MS",MS,Mississippi
340,"Jonesboro, AR",AR,Arkansas
341,"New York, NY",NY,"New York"
342,"Kapalua, HI",HI,Hawaii
343,"Joplin, MO",MO,Missouri
344,"Jamestown, ND",ND,"North Dakota"
345,"Juneau, AK",AK,Alaska
346,"Concord, NC",NC,"North Carolina"
347,"Johnstown, PA",PA,Pennsylvania
348,"Brooksville, FL",FL,Florida
349,"Arlington, TX",TX,Texas
350,"Kake, AK",AK,Alaska
351,"Kaltag, AK",AK,Alaska
352,"Birch Creek, AK",AK,Alaska
353,"Chignik Bay, AK",AK,Alaska
354,"Chignik Lagoon, AK",AK,Alaska
355,"Chignik, AK",AK,Alaska
356,"Nanwalek, AK",AK,Alaska
