City_id,CityName,STATE_ABR,State_NM
573,"Red Dog, AK",AK,Alaska
574,"Redding, CA",CA,California
575,"Bend/Redmond, OR",OR,Oregon
576,"Raleigh/Durham, NC",NC,"North Carolina"
577,"Red Devil, AK",AK,Alaska
578,"Rockford, IL",IL,Illinois
579,"Rhinelander, WI",WI,Wisconsin
580,"Richmond, VA",VA,Virginia
581,"Rifle, CO",CO,Colorado
582,"Riverside, CA",CA,California
583,"Riverton/Lander, WY",WY,Wyoming
584,"Rockland, ME",ME,Maine
585,"Rock Springs, WY",WY,Wyoming
586,"Stafford, VA",VA,Virginia
587,"Rampart, AK",AK,Alaska
588,"Reno, NV",NV,Nevada
589,"Roanoke, VA",VA,Virginia
590,"Rochester, NY",NY,"New York"
591,"Rota, TT",TT,"U.S. Pacific Trust Territories and Possessions"
592,"Roswell, NM",NM,"New Mexico"
593,"Russian Mission, AK",AK,Alaska
594,"Rochester, MN",MN,Minnesota
595,"Fort Myers, FL",FL,Florida
596,"Rutland, VT",VT,Vermont
597,"Safford, AZ",AZ,Arizona
598,"Santa Fe, NM",NM,"New Mexico"
599,"San Diego, CA",CA,California
600,"San Antonio, TX",TX,Texas
601,"Savannah, GA",GA,Georgia
602,"Santa Barbara, CA",CA,California
603,"San Bernardino, CA",CA,California
604,"South Bend, IN",IN,Indiana
605,"San Luis Obispo, CA",CA,California
606,"Salisbury, MD",MD,Maryland
607,"Deadhorse, AK",AK,Alaska
608,"State College, PA",PA,Pennsylvania
609,"Stockton, CA",CA,California
610,"Scammon Bay, AK",AK,Alaska
611,"Louisville, KY",KY,Kentucky
612,"Sandpoint, AK",AK,Alaska
613,"Sidney, MT",MT,Montana
614,"Sanford, FL",FL,Florida
615,"San Francisco, CA",CA,California
616,"Springfield, MO",MO,Missouri
617,"Sugar Land, TX",TX,Texas
618,"St. George, UT",UT,Utah
619,"Skagway, AK",AK,Alaska
620,"Staunton, VA",VA,Virginia
621,"Shungnak, AK",AK,Alaska
622,"Shishmaref, AK",AK,Alaska
623,"Sheridan, WY",WY,Wyoming
624,"Shageluk, AK",AK,Alaska
625,"Sitka, AK",AK,Alaska
626,"San Jose, CA",CA,California
627,"San Angelo, TX",TX,Texas
628,"San Juan, PR",PR,"Puerto Rico"
629,"Shaktoolik, AK",AK,Alaska
630,"Skwentna, AK",AK,Alaska
631,"Salt Lake City, UT",UT,Utah
632,"Salem, OR",OR,Oregon
633,"Saranac Lake/Lake Placid, NY",NY,"New York"
634,"Salina, KS",KS,Kansas
635,"Sleetmute, AK",AK,Alaska
636,"St. Michael, AK",AK,Alaska
637,"Santa Maria, CA",CA,California
638,"Santa Ana, CA",CA,California
639,"St. Paul, AK",AK,Alaska
640,"Seldovia, AK",AK,Alaska
641,"Show Low, AZ",AZ,Arizona
642,"Springfield, IL",IL,Illinois
643,"Saipan, TT",TT,"U.S. Pacific Trust Territories and Possessions"
644,"Wichita Falls, TX",TX,Texas
645,"San Carlos, CA",CA,California
646,"Sarasota/Bradenton, FL",FL,Florida
647,"Stony River, AK",AK,Alaska
648,"St. Cloud, MN",MN,Minnesota
649,"St. George Island, AK",AK,Alaska
650,"Santa Rosa, CA",CA,California
651,"Charlotte Amalie, VI",VI,"U.S. Virgin Islands"
652,"Christiansted, VI",VI,"U.S. Virgin Islands"
653,"Stuart, FL",FL,Florida
654,"Sun Valley/Hailey/Ketchum, ID",ID,Idaho
655,"Fairfield, CA",CA,California
656,"Sioux City, IA",IA,Iowa
657,"Savoonga, AK",AK,Alaska
658,"Silver City/Hurley, NM",NM,"New Mexico"
659,"Stevens Village, AK",AK,Alaska
660,"Newburgh/Poughkeepsie, NY",NY,"New York"
661,"Stillwater, OK",OK,Oklahoma
662,"Sheldon Point, AK",AK,Alaska
663,"Soldotna, AK",AK,Alaska
664,"Syracuse, NY",NY,"New York"
665,"Tanana, AK",AK,Alaska
666,"Fort Leonard Wood, MO",MO,Missouri
667,"Tuscaloosa, AL",AL,Alabama
668,"Tacoma, WA",WA,Washington
669,"Takotna, AK",AK,Alaska
670,"Teterboro, NJ",NJ,"New Jersey"
671,"Tatitlek, AK",AK,Alaska
672,"Telluride, CO",CO,Colorado
673,"Tinian, TT",TT,"U.S. Pacific Trust Territories and Possessions"
674,"Titusville, FL",FL,Florida
675,"Tenakee, AK",AK,Alaska
676,"Truckee, CA",CA,California
677,"Tok, AK",AK,Alaska
678,"Teller, AK",AK,Alaska
679,"Tallahassee, FL",FL,Florida
680,"Tatalina, AK",AK,Alaska
681,"Tuluksak, AK",AK,Alaska
682,"Tin City, AK",AK,Alaska
683,"Tununak, AK",AK,Alaska
684,"Togiak, AK",AK,Alaska
685,"Toledo, OH",OH,Ohio
686,"Tampa, FL",FL,Florida
687,"Bristol/Johnson City/Kingsport, TN",TN,Tennessee
688,"Thermal, CA",CA,California
689,"Taos, NM",NM,"New Mexico"
690,"Trenton, NJ",NJ,"New Jersey"
691,"Tulsa, OK",OK,Oklahoma
692,"Tupelo, MS",MS,Mississippi
693,"Traverse City, MI",MI,Michigan
694,"Thief River Falls, MN",MN,Minnesota
695,"Twin Hills, AK",AK,Alaska
696,"Twin Falls, ID",ID,Idaho
